Removed Pin From Net: NetName=NetU5_2 Pin=XTAL2-1
Change Component Footprint: Designator=XTAL2 Old Footprint=OSC-TH_BD2.0-P0.70-D0.3 New Footprint=R38
Change component parameters: Designator = "U4" ("U4"); Footprint = "5MM LED"; UniqueID = "\gge159be66ecd0c5436" ("\gge159be66ecd0c5436")
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "5mm LED"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "Axbri"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "LED"; VariantName = "[No Variations]"
Change component parameters: Designator = "XTAL2" ("XTAL2"); Footprint = "OSC-TH_BD2.0-P0.70-D0.3"; UniqueID = "\BJNZGMVZ" ("\BJNZGMVZ")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Crystal, Thru-Hole; 2 Leads; Body 3.1 x 8.2 mm (Dia.xH)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "R38"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "B1" ("B1"); Footprint = "BAT-TH_BS-2-1"; UniqueID = "\ggeed8ccbeb497988a8" ("\ggeed8ccbeb497988a8")
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "Q&J"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "BS-2-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C70376"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CR2032-BS-2-1"; VariantName = "[No Variations]"
Change component parameters: Designator = "U5" ("U5"); Footprint = "DIP-8_L9.8-W6.6-P2.54-LS7.6-BL"; UniqueID = "\gge484acf6b3295008b" ("\gge484acf6b3295008b")
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "MAXIM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "DS1307+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C59267"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "DS1307+"; VariantName = "[No Variations]"
